Nome;Localização;Dias;Horário;Observação;Latitude;Longitude
Feira Dom Vital;Praça Dom Vital;Quinta a sábado;6h às 18h;;-8,06785;-34,878208
Feira Água Fria;Rua Uzeda Luna;Todos os dias;6h às 18h;;-8,018861;-34,895011
Feira de Beberibe;Praça da Convenção;Todos os dias;6h às 18h;;-8,037481;-34,891785
Feira Arruda;Rua Ramis Galvão;Quinta a sábado;6h às 18h;;-8,025208;-34,893689
Feira Encruzilhada;Largo da Encruzilhada;Segundas e terças;6h às 18h;;-8,036735;-34,891921
Feira Alto do Deodato;Rua Alto do Deodato;Domingo;6h às 12h ;;-8,012372;-34,89941
Feira Casa Amarela;Largo de Casa Amarela;Todos os dias;6h às 18h;;-8,026202;-34,917926
Feira Nova Descoberta;Av. Nova Descoberta;Todos os dias;6h às 18h;Domingo de 13h ás 18h;-8,000821;-34,923073
Feira Bomba Grande;Rua Inácio Monteiro;Quarta e quinta;6h às 18h;;-8,047332;-34,931098
Feira do Cordeiro;Pátio do Mercado do Cordeiro;Quinta a sábado;6h às 20h;;-8,052208;-34,921784
Feira da Várzea;Rua Azevedo Coutinho;Quinta a sábado;6h às 20h;;-8,049637;-34,960032
Feira do Engenho do Meio;Rua Gov. Lupo Garro;Sábados e domingos;06h às 17h;;-8,056383;-34,943758
Feira de Areias;Rua Barros Sobrinho;Sexta e sábado;6h às 18h;;-8,088718;-34,934379
Feira da Mustardinha;Av. Manoel Gonçalves da Luz;Todos os dias;6h às 18h;;-8,071074;-34,918055
Feira de Afogados;Estrada dos Remédios, s/n;Todos os dias;6h às 20h;;-8,077787;-34,90709
Feira do Jordão;Rua Alberto Lundgren;Todos os dias;6h às 18h;;-8,137061;-34,937023
Feira do Ibura UR – 01;Av. Pernambuco;Todos os dias;06h às 18h;;-8,118719;-34,946475
